[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 18.98

Episode:     0 | Reward:      18.98 | Avg100:      18.98
Episode 519, Reward: 6.963287238392755
Episode 520, Reward: 17.636490834814666
Episode 521, Reward: 16.41344153769037
Episode 522, Reward: 8.252392892619815
Episode 523, Reward: 13.497223397619896
Episode 524, Reward: 6.981634156443246
Episode 525, Reward: 6.184676102069542
Episode 526, Reward: 12.829088950697058
Episode 527, Reward: 5.923451031264701
Episode 528, Reward: 10.621261167002823
Episode 529, Reward: 17.949909582560288
Episode 530, Reward: 17.539230474631847
Episode 531, Reward: 6.403182458919308
Episode 532, Reward: 15.110821135079748
Episode 533, Reward: 11.676391694939015
Episode 534, Reward: 16.303892805003407
Episode 535, Reward: 11.943000829363365
Episode 536, Reward: 11.75869805898491
Episode 537, Reward: 55.227786391546864
Episode 538, Reward: 11.013875671903069
Episode 539, Reward: 13.949945872058976
Episode 540, Reward: 7.345938281713273
Episode 541, Reward: 20.816393496333028
Episode 542, Reward: 14.963607295196915
Episode 543, Reward: 7.948808880441344
Episode 544, Reward: 5.926456425596458
Episode 545, Reward: 6.011603133679949
Episode 546, Reward: 23.835225243361098
Episode 547, Reward: 21.621278885758027
Episode 548, Reward: 14.7079607268375
Episode 549, Reward: 4.2661279105069045
Episode 550, Reward: 20.014895270068436
Episode 551, Reward: 23.29993112970165
Episode 552, Reward: 11.534627680301995
Episode 553, Reward: 6.955741970376121
Episode 554, Reward: 9.571978915380843
Episode 555, Reward: 10.300279028680515
Episode 556, Reward: 12.55424983085753
Episode 557, Reward: 11.950328905368323
Episode 558, Reward: 17.703048784695135
Episode 559, Reward: 6.32308268904311
Episode 560, Reward: 9.474385379129123
Episode 561, Reward: 5.676943813637437
Episode 562, Reward: 12.388072951937474
Episode 563, Reward: 11.832346387722156
Episode 564, Reward: 5.944774184378568
Episode 565, Reward: 12.51551243620088
Episode 566, Reward: 17.58447694959471
Episode 567, Reward: 5.920031138079395
Episode 568, Reward: 14.72319470360044
Episode 569, Reward: 13.960215544141734
Episode 570, Reward: 8.768026493325548
Episode 571, Reward: 8.199892954632709
Episode 572, Reward: 10.168828176439577
Episode 573, Reward: 4.237911166993112
Episode 574, Reward: 27.588257741901053
Episode 575, Reward: 15.190389609970756
Episode 576, Reward: 15.216024073676097
Episode 577, Reward: 26.653747342230698
Episode 578, Reward: 5.400387618820821
Episode 579, Reward: 6.462022619284461
Episode 580, Reward: 6.486873083319555
Episode 581, Reward: 6.305770447437481
Episode 582, Reward: 13.971511287032639
Episode 583, Reward: 3.955432036933336
Episode 584, Reward: 9.820378730202915
Episode 585, Reward: 13.428063297728759
Episode 586, Reward: 10.126653307587437
Episode 587, Reward: 5.074871372259109
Episode 588, Reward: 12.109231010141144
Episode 589, Reward: 14.960171456190864
Episode 590, Reward: 18.303256749690807
Episode 591, Reward: 6.942811573856377
Episode 592, Reward: 4.62495288152229
Episode 593, Reward: 5.593846491696579
Episode 594, Reward: 5.1746773105455715
Episode 595, Reward: 26.581484749341413
Episode 596, Reward: 18.37212502606945
Episode 597, Reward: 15.26279702629746
Episode 598, Reward: 12.957506745643354
Episode 599, Reward: 6.212225470102224
Episode 600, Reward: 22.350304578764522
Episode 601, Reward: 7.964889608919876
Episode 602, Reward: 10.880564219484105
Episode 603, Reward: 21.685116743434996
Episode 604, Reward: 17.185471467755068
Episode 605, Reward: 6.4273534973442645
Episode 606, Reward: 8.000948048412726
Episode 607, Reward: 14.89166476377657
Episode 608, Reward: 6.597880082205621
