[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 1.63

Episode:     0 | Reward:       1.63 | Avg100:       1.63
Episode 304, Reward: 1.7796199100568557

[BEST MODEL SAVED] Avg100 Reward: 2.57

Episode:   305 | Reward:       2.06 | Avg100:       2.57
Episode 305, Reward: 2.0634751842826513

[BEST MODEL SAVED] Avg100 Reward: 2.57

Episode:   306 | Reward:       2.46 | Avg100:       2.57
Episode 306, Reward: 2.4609260966470883

[BEST MODEL SAVED] Avg100 Reward: 2.57

Episode:   307 | Reward:       2.99 | Avg100:       2.57
Episode 307, Reward: 2.9914521958459845
Episode 308, Reward: 3.020663976238418

[BEST MODEL SAVED] Avg100 Reward: 2.57

Episode:   309 | Reward:       2.57 | Avg100:       2.57
Episode 309, Reward: 2.5698437780323067

[BEST MODEL SAVED] Avg100 Reward: 2.58

Episode:   310 | Reward:       2.42 | Avg100:       2.58
Episode 310, Reward: 2.42027162907988

[BEST MODEL SAVED] Avg100 Reward: 2.63

Episode:   311 | Reward:       7.31 | Avg100:       2.63
Episode 311, Reward: 7.309349125676037

[BEST MODEL SAVED] Avg100 Reward: 2.63

Episode:   312 | Reward:       2.57 | Avg100:       2.63
Episode 312, Reward: 2.5717005695260453

[BEST MODEL SAVED] Avg100 Reward: 2.64

Episode:   313 | Reward:       2.52 | Avg100:       2.64
Episode 313, Reward: 2.522992633403906

[BEST MODEL SAVED] Avg100 Reward: 2.65

Episode:   314 | Reward:       4.51 | Avg100:       2.65
Episode 314, Reward: 4.506971037072483

[BEST MODEL SAVED] Avg100 Reward: 2.66

Episode:   315 | Reward:       2.72 | Avg100:       2.66
Episode 315, Reward: 2.71852386687165
Episode 316, Reward: 2.4305983423190085
Episode 317, Reward: 1.4933916937179657
Episode 318, Reward: 4.293616383987036
Episode 319, Reward: 2.2118017468815516
Episode 320, Reward: 5.205358939721394
Episode 321, Reward: 2.4074560241895573

[BEST MODEL SAVED] Avg100 Reward: 3.14

Episode:   322 | Reward:      51.19 | Avg100:       3.14
Episode 322, Reward: 51.18728988198284
Episode 323, Reward: 3.9027440378984464
Episode 324, Reward: 2.313029901456857
Episode 325, Reward: 2.6590798449300044
Episode 326, Reward: 2.215328118690969

[BEST MODEL SAVED] Avg100 Reward: 3.16

Episode:   327 | Reward:       5.91 | Avg100:       3.16
Episode 327, Reward: 5.907891935225736

[BEST MODEL SAVED] Avg100 Reward: 3.17

Episode:   328 | Reward:       2.20 | Avg100:       3.17
Episode 328, Reward: 2.2030834771830965

[BEST MODEL SAVED] Avg100 Reward: 3.17

Episode:   329 | Reward:       2.99 | Avg100:       3.17
Episode 329, Reward: 2.992579008682238
Episode 330, Reward: 2.2390373501920524

[BEST MODEL SAVED] Avg100 Reward: 3.19

Episode:   331 | Reward:       5.16 | Avg100:       3.19
Episode 331, Reward: 5.164814279606958

[BEST MODEL SAVED] Avg100 Reward: 3.22

Episode:   332 | Reward:       4.13 | Avg100:       3.22
Episode 332, Reward: 4.130092558476717

