[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 16.44

Episode:     0 | Reward:      16.44 | Avg100:      16.44
Episode 439, Reward: 7.095153611371237
Episode 440, Reward: 28.394232094557747
Episode 441, Reward: 12.62375594117845
Episode 442, Reward: 12.271113172619065
Episode 443, Reward: 7.14379744238402
Episode 444, Reward: 7.055381507699831
Episode 445, Reward: 7.022531702803272
Episode 446, Reward: 8.598277634401983
Episode 447, Reward: 13.641221407573903
Episode 448, Reward: 9.855070704081449
Episode 449, Reward: 9.565624515477062
Episode 450, Reward: 7.316580189394241
Episode 451, Reward: 7.363185686981456
Episode 452, Reward: 11.430464267268755
Episode 453, Reward: 6.222088861504247
Episode 454, Reward: 10.909344625120985
Episode 455, Reward: 6.550560822198425
Episode 456, Reward: 7.909029395538074
Episode 457, Reward: 9.18905567413582
Episode 458, Reward: 21.48515607975556
Episode 459, Reward: 7.49189191879049
Episode 460, Reward: 7.21366037794841
Episode 461, Reward: 7.24065320924271
Episode 462, Reward: 6.790378292176965
Episode 463, Reward: 7.25850846953507
Episode 464, Reward: 7.097341790422463
Episode 465, Reward: 12.548528193150332
Episode 466, Reward: 15.27157537466775
Episode 467, Reward: 8.875462044286548
Episode 468, Reward: 7.064364335034283
Episode 469, Reward: 12.786481098824884
Episode 470, Reward: 6.569583433702107
Episode 471, Reward: 23.891791619950975
Episode 472, Reward: 16.14117212069228
Episode 473, Reward: 9.50136122729474
Episode 474, Reward: 23.20766985552782
Episode 475, Reward: 8.165450845119217
Episode 476, Reward: 6.476585004853386
Episode 477, Reward: 10.974349262730376
Episode 478, Reward: 12.688545122004358
Episode 479, Reward: 7.506150695066209
Episode 480, Reward: 13.681178475720586
Episode 481, Reward: 14.693169822698428
Episode 482, Reward: 6.927668615330844
Episode 483, Reward: 13.37032482558379
Episode 484, Reward: 7.327306511394352
Episode 485, Reward: 6.334159799911631
