[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 4.61

Episode:     0 | Reward:       4.61 | Avg100:       4.61
Episode 315, Reward: 10.453590269015946
Episode 316, Reward: 4.167413535696684
C:\Users\enric\AppData\Local\Programs\Python\Python311\Lib\site-packages\glfw\__init__.py:917: GLFWError: (65537) b'The GLFW library is not initialized'
  warnings.warn(message, GLFWError)
Episode 317, Reward: 4.443274086716526
Episode 318, Reward: 6.517234908106889
Episode 319, Reward: 4.220257247858007
Episode 320, Reward: 5.044181451236753
Episode 321, Reward: 4.100020204096996
Episode 322, Reward: 3.4177644996454535
Episode 323, Reward: 5.025166340182871
Episode 324, Reward: 3.291587656020491
Episode 325, Reward: 4.387259227782069
Episode 326, Reward: 4.393104645938834
Episode 327, Reward: 4.568850732366248
Episode 328, Reward: 4.828276192379621
Episode 329, Reward: 4.357544204338606
Episode 330, Reward: 4.660170903272437
Episode 331, Reward: 4.07241851356226
Episode 332, Reward: 3.4052474809718487
Episode 333, Reward: 4.545454213988556
Episode 334, Reward: 4.018085574386244
Episode 335, Reward: 5.419852460541734
Episode 336, Reward: 6.8140885224548615
Episode 337, Reward: 3.9885948916751337
Episode 338, Reward: 4.906131238532559
Episode 339, Reward: 7.563840791603505
Episode 340, Reward: 5.166180189253535
Episode 341, Reward: 4.37325676074885
Episode 342, Reward: 4.41783567691621
Episode 343, Reward: 3.7779730514138152
Episode 344, Reward: 4.743755511138199
Episode 345, Reward: 4.726848861206429
Episode 346, Reward: 3.066786067465456
Episode 347, Reward: 5.167575352686973
Episode 348, Reward: 7.580420003709486
Episode 349, Reward: 6.673057604830748
Episode 350, Reward: 4.785326985000821
Episode 351, Reward: 4.249517022880715
Episode 352, Reward: 4.333599282539041
Episode 353, Reward: 5.034132037731313
Episode 354, Reward: 4.032333997536572
Episode 355, Reward: 4.5282023371487385
Episode 356, Reward: 4.006071461193768
Episode 357, Reward: 4.609934941170618
Episode 358, Reward: 4.327516313458247
Episode 359, Reward: 4.350222064722905
Episode 360, Reward: 3.4254580875001026
Episode 361, Reward: 4.931662837018887
Episode 362, Reward: 4.581802182109198

[BEST MODEL SAVED] Avg100 Reward: 4.64

Episode:   363 | Reward:       7.81 | Avg100:       4.64
Episode 363, Reward: 7.809108074653692
Episode 364, Reward: 4.790844069490033
Episode 365, Reward: 4.494704609455061
Episode 366, Reward: 4.89395530542592
Episode 367, Reward: 3.9379516864667288
Episode 368, Reward: 4.455514210136221
Episode 369, Reward: 4.638139231751333
Episode 370, Reward: 4.583776471292873
Episode 371, Reward: 4.036485349679223

[BEST MODEL SAVED] Avg100 Reward: 4.68

Episode:   372 | Reward:       8.77 | Avg100:       4.68
Episode 372, Reward: 8.765476003371598

[BEST MODEL SAVED] Avg100 Reward: 4.69

Episode:   373 | Reward:       5.77 | Avg100:       4.69
Episode 373, Reward: 5.767653346173015

[BEST MODEL SAVED] Avg100 Reward: 4.70

Episode:   374 | Reward:       4.30 | Avg100:       4.70
Episode 374, Reward: 4.29797822812535
Episode 375, Reward: 4.2880786109385705

[BEST MODEL SAVED] Avg100 Reward: 4.71

Episode:   376 | Reward:       5.15 | Avg100:       4.71
Episode 376, Reward: 5.153503874565107
Episode 377, Reward: 4.769668357328415

[BEST MODEL SAVED] Avg100 Reward: 4.71

Episode:   378 | Reward:       4.96 | Avg100:       4.71
Episode 378, Reward: 4.960461078733408

[BEST MODEL SAVED] Avg100 Reward: 4.72

Episode:   379 | Reward:       5.02 | Avg100:       4.72
Episode 379, Reward: 5.017913740830034

[BEST MODEL SAVED] Avg100 Reward: 4.74

Episode:   380 | Reward:       5.60 | Avg100:       4.74
Episode 380, Reward: 5.601437236283316
Episode 381, Reward: 4.240688239026066

[BEST MODEL SAVED] Avg100 Reward: 4.74

Episode:   382 | Reward:       5.67 | Avg100:       4.74
Episode 382, Reward: 5.666579570846479

[BEST MODEL SAVED] Avg100 Reward: 4.74

